127.0.0.1 - - [06/May/2021:17:52:48 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /GadgetBadget_gui/Project.jsp HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /GadgetBadget_gui/myStyle.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /GadgetBadget_gui/Components/Project.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /GadgetBadget_gui/Views/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /GadgetBadget_gui/Components/jquery-3.5.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:17:52:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/May/2021:17:53:28 +0530] "GET /GadgetBadget_gui/Project.jsp HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [06/May/2021:17:53:28 +0530] "GET /GadgetBadget_gui/myStyle.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:27 +0530] "GET /GadgetBadget_gui/Project.jsp HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:27 +0530] "GET /GadgetBadget_gui/myStyle.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:35 +0530] "GET /GadgetBadget_gui/Project.jsp HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:35 +0530] "GET /GadgetBadget_gui/myStyle.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:45 +0530] "GET /GadgetBadget_gui/Project.jsp HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [06/May/2021:18:06:45 +0530] "GET /GadgetBadget_gui/myStyle.css HTTP/1.1" 404 1106
